Time [s];	Voltage [V];	Current [A]
+7.4000000000000004E+00;	+3.9785922787831609E+00;	+0.0000000000000000E+00
+7.5999999999999996E+00;	+3.9785960513989429E+00;	+0.0000000000000000E+00
+7.8000000000000007E+00;	+3.9785916831069854E+00;	+0.0000000000000000E+00
+8.0000000000000000E+00;	+3.9786037951892319E+00;	+0.0000000000000000E+00
+8.1999999999999993E+00;	+3.9786045894241333E+00;	+0.0000000000000000E+00
+8.3999999999999986E+00;	+3.9786018096019782E+00;	+0.0000000000000000E+00
+8.5999999999999996E+00;	+3.9785996254559990E+00;	+0.0000000000000000E+00
+8.7999999999999989E+00;	+3.9785962499576684E+00;	+0.0000000000000000E+00
+9.0000000000000000E+00;	+3.9785924773418864E+00;	+0.0000000000000000E+00
+9.1999999999999993E+00;	+3.9785914845482595E+00;	+0.0000000000000000E+00
+9.4000000000000004E+00;	+3.9785883076086548E+00;	+0.0000000000000000E+00
+9.6000000000000014E+00;	+3.9785904917546326E+00;	+0.0000000000000000E+00
+9.8000000000000007E+00;	+3.9785914845482595E+00;	+0.0000000000000000E+00
+1.0000000000000000E+01;	+3.9785998240147245E+00;	+0.0000000000000000E+00
+1.0199999999999999E+01;	+3.9786041923066819E+00;	+0.0000000000000000E+00
+1.0400000000000000E+01;	+3.9785912859895345E+00;	+0.0000000000000000E+00
+1.0600000000000000E+01;	+3.9785912859895340E+00;	+0.0000000000000000E+00
+1.0800000000000001E+01;	+3.9785916831069854E+00;	+0.0000000000000000E+00
+1.1000000000000000E+01;	+3.9785952571640415E+00;	+0.0000000000000000E+00
+1.1199999999999999E+01;	+3.9785978384274707E+00;	+0.0000000000000000E+00
+1.1399999999999999E+01;	+3.9785948600465910E+00;	+0.0000000000000000E+00
+1.1600000000000000E+01;	+3.9785908888720840E+00;	+0.0000000000000000E+00
+1.1799999999999999E+01;	+3.9785910874308090E+00;	+0.0000000000000000E+00
+1.2000000000000000E+01;	+3.9785976398687453E+00;	+0.0000000000000000E+00
+1.2199999999999999E+01;	+3.9785986326623726E+00;	+0.0000000000000000E+00
+1.2399999999999999E+01;	+3.9785948600465910E+00;	+0.0000000000000000E+00
+1.2600000000000001E+01;	+3.9785966470751184E+00;	+0.0000000000000000E+00
+1.2800000000000001E+01;	+3.9785926759006123E+00;	+0.0000000000000000E+00
+1.3000000000000000E+01;	+3.9785885061673789E+00;	+0.0000000000000000E+00
+1.3200000000000001E+01;	+3.9785883076086539E+00;	+0.0000000000000000E+00
+1.3400000000000000E+01;	+3.9785970441925698E+00;	+0.0000000000000000E+00
+1.3600000000000000E+01;	+3.9785936686942378E+00;	+0.0000000000000000E+00
+1.3799999999999999E+01;	+3.9785932715767878E+00;	+0.0000000000000000E+00
+1.4000000000000000E+01;	+3.9785813580532667E+00;	+0.0000000000000000E+00
+1.4199999999999999E+01;	+3.9785873148150279E+00;	+0.0000000000000000E+00
+1.4399999999999999E+01;	+3.9785875133737520E+00;	+0.0000000000000000E+00
+1.4599999999999998E+01;	+3.9785910874308090E+00;	+0.0000000000000000E+00
+1.4800000000000001E+01;	+3.9785924773418864E+00;	+0.0000000000000000E+00
+1.5000000000000000E+01;	+3.9785863220214002E+00;	+0.0000000000000000E+00
+1.5199999999999999E+01;	+3.9785851306690492E+00;	+0.0000000000000000E+00
+1.5399999999999999E+01;	+3.9785797695834639E+00;	+0.0000000000000000E+00
+1.5600000000000001E+01;	+3.9785825494056191E+00;	+0.0000000000000000E+00
+1.5800000000000001E+01;	+3.9785847335515978E+00;	+0.0000000000000000E+00
+1.6000000000000000E+01;	+3.9785809609358167E+00;	+0.0000000000000000E+00
