Time [s];	Voltage [V];	Current [A]
+7.5999999999999996E+00;	+3.9765012056977778E+00;	+0.0000000000000000E+00
+7.8000000000000007E+00;	+3.9765004114628764E+00;	+0.0000000000000000E+00
+8.0000000000000000E+00;	+3.9765035884024820E+00;	+0.0000000000000000E+00
+8.1999999999999993E+00;	+3.9764964402883689E+00;	+0.0000000000000000E+00
+8.3999999999999986E+00;	+3.9764952489360179E+00;	+0.0000000000000000E+00
+8.5999999999999996E+00;	+3.9764938590249401E+00;	+0.0000000000000000E+00
+8.7999999999999989E+00;	+3.9764944547011161E+00;	+0.0000000000000000E+00
+9.0000000000000000E+00;	+3.9764938590249401E+00;	+0.0000000000000000E+00
+9.1999999999999993E+00;	+3.9764924691138623E+00;	+0.0000000000000000E+00
+9.4000000000000004E+00;	+3.9764956460534684E+00;	+0.0000000000000000E+00
+9.6000000000000014E+00;	+3.9764950503772920E+00;	+0.0000000000000000E+00
+9.8000000000000007E+00;	+3.9764950503772920E+00;	+0.0000000000000000E+00
+1.0000000000000000E+01;	+3.9764948518185670E+00;	+0.0000000000000000E+00
+1.0199999999999999E+01;	+3.9764968374058207E+00;	+0.0000000000000000E+00
+1.0400000000000000E+01;	+3.9764920719964123E+00;	+0.0000000000000000E+00
+1.0600000000000000E+01;	+3.9764992201105245E+00;	+0.0000000000000000E+00
+1.0800000000000001E+01;	+3.9764974330819967E+00;	+0.0000000000000000E+00
+1.1000000000000000E+01;	+3.9764998157867009E+00;	+0.0000000000000000E+00
+1.1199999999999999E+01;	+3.9765033898437570E+00;	+0.0000000000000000E+00
+1.1399999999999999E+01;	+3.9765004114628764E+00;	+0.0000000000000000E+00
+1.1600000000000000E+01;	+3.9765012056977782E+00;	+0.0000000000000000E+00
+1.1799999999999999E+01;	+3.9764994186692495E+00;	+0.0000000000000000E+00
+1.2000000000000000E+01;	+3.9764968374058203E+00;	+0.0000000000000000E+00
+1.2199999999999999E+01;	+3.9764986244343485E+00;	+0.0000000000000000E+00
+1.2399999999999999E+01;	+3.9764998157867009E+00;	+0.0000000000000000E+00
+1.2600000000000001E+01;	+3.9765075595769894E+00;	+0.0000000000000000E+00
+1.2800000000000001E+01;	+3.9765029927263060E+00;	+0.0000000000000000E+00
+1.3000000000000000E+01;	+3.9765004114628772E+00;	+0.0000000000000000E+00
+1.3200000000000001E+01;	+3.9764980287581726E+00;	+0.0000000000000000E+00
+1.3400000000000000E+01;	+3.9765027941675810E+00;	+0.0000000000000000E+00
+1.3600000000000000E+01;	+3.9764954474947429E+00;	+0.0000000000000000E+00
+1.3799999999999999E+01;	+3.9764956460534684E+00;	+0.0000000000000000E+00
+1.4000000000000000E+01;	+3.9765002129041509E+00;	+0.0000000000000000E+00
+1.4199999999999999E+01;	+3.9764988229930740E+00;	+0.0000000000000000E+00
+1.4399999999999999E+01;	+3.9765000143454259E+00;	+0.0000000000000000E+00
+1.4599999999999998E+01;	+3.9765002129041513E+00;	+0.0000000000000000E+00
+1.4800000000000001E+01;	+3.9764958446121934E+00;	+0.0000000000000000E+00
+1.5000000000000000E+01;	+3.9765000143454259E+00;	+0.0000000000000000E+00
+1.5199999999999999E+01;	+3.9765023970501310E+00;	+0.0000000000000000E+00
