Time [s];	Voltage [V];	Current [A]
+2.8399999999999999E+00;	-3.5851128061183991E-05;	-3.1178766346825007E-04
+2.8799999999999999E+00;	-3.1085718652796158E-05;	-3.1178766346825007E-04
+2.9199999999999999E+00;	-3.5851128061183991E-05;	-3.1181759859428421E-04
+2.9600000000000000E+00;	-3.3468423356990021E-05;	-3.1172779321618184E-04
+3.0000000000000000E+00;	-3.2277071004893089E-05;	-3.1172779321618184E-04
+3.0400000000000000E+00;	-3.1085718652796158E-05;	-3.1175772834221593E-04
+3.0800000000000001E+00;	-3.1085718652796158E-05;	-3.1184753372031829E-04
+3.1200000000000001E+00;	-3.4659775709087060E-05;	-3.1178766346825007E-04
+3.1600000000000001E+00;	-4.1807889821668972E-05;	-3.1184753372031829E-04
+3.2000000000000002E+00;	-3.9425185117475002E-05;	-3.1193733909842071E-04
+3.2400000000000002E+00;	-4.0616537469571933E-05;	-3.1184753372031829E-04
+3.2800000000000002E+00;	-2.9894366300699119E-05;	-3.1190740397238657E-04
+3.3200000000000003E+00;	-3.5851128061183991E-05;	-3.1184753372031829E-04
+3.3599999999999999E+00;	-3.4659775709087060E-05;	-3.1175772834221593E-04
+3.3999999999999999E+00;	-3.3468423356990021E-05;	-3.1175772834221593E-04
+3.4399999999999999E+00;	-4.0616537469571933E-05;	-3.1175772834221593E-04
+3.4800000000000000E+00;	-3.7042480413281031E-05;	-3.1175772834221593E-04
+3.5200000000000000E+00;	-4.0616537469571933E-05;	-3.1184753372031829E-04
+3.5600000000000001E+00;	-3.4659775709087060E-05;	-3.1178766346825007E-04
+3.6000000000000001E+00;	-3.9425185117475002E-05;	-3.1169785809014771E-04
+3.6400000000000001E+00;	-3.8233832765377962E-05;	-3.1172779321618184E-04
+3.6800000000000002E+00;	-4.0616537469571933E-05;	-3.1172779321618184E-04
+3.7200000000000002E+00;	-3.7042480413281031E-05;	-3.1172779321618184E-04
+3.7600000000000002E+00;	-4.1807889821668972E-05;	-3.1172779321618184E-04
+3.8000000000000003E+00;	-3.8233832765377962E-05;	-3.1175772834221593E-04
+3.8399999999999999E+00;	-4.0616537469571933E-05;	-3.1169785809014771E-04
+3.8799999999999999E+00;	-3.8233832765377962E-05;	-3.1172779321618184E-04
+3.9199999999999999E+00;	-3.4659775709087060E-05;	-3.1163798783807943E-04
+3.9600000000000000E+00;	-3.1085718652796158E-05;	-3.1154818245997707E-04
+4.0000000000000000E+00;	-3.3468423356990021E-05;	-3.1148831220790884E-04
+4.0400000000000000E+00;	-2.7511661596505148E-05;	-3.1142844195584056E-04
+4.0800000000000001E+00;	-3.2277071004893089E-05;	-3.1142844195584056E-04
+4.1200000000000001E+00;	-3.8233832765377962E-05;	-3.1145837708187470E-04
+4.1600000000000001E+00;	-3.3468423356990021E-05;	-3.1139850682980648E-04
+4.2000000000000002E+00;	-3.2277071004893089E-05;	-3.1142844195584056E-04
+4.2400000000000002E+00;	-2.7511661596505148E-05;	-3.1139850682980648E-04
+4.2800000000000002E+00;	-2.8703013948602188E-05;	-3.1151824733394298E-04
+4.3200000000000003E+00;	-2.6320309244408217E-05;	-3.1157811758601120E-04
+4.3600000000000003E+00;	-3.3468423356990021E-05;	-3.1160805271204534E-04
+4.4000000000000004E+00;	-3.9425185117475002E-05;	-3.1166792296411357E-04
+4.4400000000000004E+00;	-2.9894366300699119E-05;	-3.1160805271204534E-04
+4.4800000000000004E+00;	-2.8703013948602188E-05;	-3.1169785809014771E-04
+4.5200000000000005E+00;	-3.2277071004893089E-05;	-3.1175772834221593E-04
+4.5600000000000005E+00;	-2.8703013948602188E-05;	-3.1166792296411357E-04
+4.6000000000000005E+00;	-3.7042480413281031E-05;	-3.1169785809014771E-04
+4.6399999999999997E+00;	-3.1085718652796158E-05;	-3.1172779321618184E-04
+4.6799999999999997E+00;	-2.7511661596505148E-05;	-3.1166792296411357E-04
+4.7199999999999998E+00;	-3.1085718652796158E-05;	-3.1196727422445479E-04
+4.7599999999999998E+00;	-3.5851128061183991E-05;	-3.1190740397238657E-04
+4.7999999999999998E+00;	-3.7042480413281031E-05;	-3.1199720935048893E-04
+4.8399999999999999E+00;	-3.3468423356990021E-05;	-3.1199720935048893E-04
+4.8799999999999999E+00;	-3.5851128061183991E-05;	-3.1199720935048893E-04
+4.9199999999999999E+00;	-3.1085718652796158E-05;	-3.1202714447652307E-04
+4.9600000000000000E+00;	-3.2277071004893089E-05;	-3.1202714447652307E-04
+5.0000000000000000E+00;	-3.7042480413281031E-05;	-3.1202714447652307E-04
+5.0400000000000000E+00;	-3.3468423356990021E-05;	-3.1199720935048893E-04
+5.0800000000000001E+00;	-4.2999242173765904E-05;	-3.1193733909842071E-04
+5.1200000000000001E+00;	-3.5851128061183991E-05;	-3.1190740397238657E-04
+5.1600000000000001E+00;	-3.3468423356990021E-05;	-3.1196727422445479E-04
+5.2000000000000002E+00;	-3.7042480413281031E-05;	-3.1190740397238657E-04
+5.2400000000000002E+00;	-3.5851128061183991E-05;	-3.1196727422445479E-04
+5.2800000000000002E+00;	-3.8233832765377962E-05;	-3.1193733909842071E-04
+5.3200000000000003E+00;	-3.9425185117475002E-05;	-3.1193733909842071E-04
+5.3600000000000003E+00;	-3.3468423356990021E-05;	-3.1184753372031829E-04
+5.4000000000000004E+00;	-4.2999242173765904E-05;	-3.1187746884635243E-04
+5.4400000000000004E+00;	-3.5851128061183991E-05;	-3.1190740397238657E-04
+5.4800000000000004E+00;	-3.8233832765377962E-05;	-3.1181759859428421E-04
+5.5200000000000005E+00;	-3.9425185117475002E-05;	-3.1178766346825007E-04
+5.5600000000000005E+00;	-3.8233832765377962E-05;	-3.1175772834221593E-04
+5.6000000000000005E+00;	-3.3468423356990021E-05;	-3.1175772834221593E-04
+5.6399999999999997E+00;	-3.4659775709087060E-05;	-3.1175772834221593E-04
+5.6799999999999997E+00;	-3.3468423356990021E-05;	-3.1181759859428421E-04
+5.7199999999999998E+00;	-2.8703013948602188E-05;	-3.1193733909842071E-04
+5.7599999999999998E+00;	-4.0616537469571933E-05;	-3.1190740397238657E-04
+5.7999999999999998E+00;	-3.9425185117475002E-05;	-3.1181759859428421E-04
+5.8399999999999999E+00;	-3.3468423356990021E-05;	-3.1184753372031829E-04
+5.8799999999999999E+00;	-4.0616537469571933E-05;	-3.1184753372031829E-04
+5.9199999999999999E+00;	-3.5851128061183991E-05;	-3.1190740397238657E-04
+5.9600000000000000E+00;	-2.9894366300699119E-05;	-3.1193733909842071E-04
+6.0000000000000000E+00;	-3.5851128061183991E-05;	-3.1199720935048893E-04
+6.0400000000000000E+00;	-3.5851128061183991E-05;	-3.1190740397238657E-04
+6.0800000000000001E+00;	-3.1085718652796158E-05;	-3.1187746884635243E-04
+6.1200000000000001E+00;	-3.5851128061183991E-05;	-3.1184753372031829E-04
+6.1600000000000001E+00;	-4.1807889821668972E-05;	-3.1187746884635243E-04
+6.2000000000000002E+00;	-4.1807889821668972E-05;	-3.1190740397238657E-04
+6.2400000000000002E+00;	-4.1807889821668972E-05;	-3.1199720935048893E-04
+6.2800000000000002E+00;	-3.9425185117475002E-05;	-3.1199720935048893E-04
+6.3200000000000003E+00;	-4.0616537469571933E-05;	-3.1190740397238657E-04
+6.3600000000000003E+00;	-3.1085718652796158E-05;	-3.1184753372031829E-04
+6.4000000000000004E+00;	-2.7511661596505148E-05;	-3.1181759859428421E-04
+6.4400000000000004E+00;	-3.9425185117475002E-05;	-3.1181759859428421E-04
+6.4800000000000004E+00;	-3.9425185117475002E-05;	-3.1184753372031829E-04
+6.5200000000000005E+00;	-4.2999242173765904E-05;	-3.1178766346825007E-04
+6.5600000000000005E+00;	-3.4659775709087060E-05;	-3.1172779321618184E-04
+6.6000000000000005E+00;	-3.8233832765377962E-05;	-3.1163798783807943E-04
+6.6400000000000006E+00;	-3.8233832765377962E-05;	-3.1169785809014771E-04
+6.6799999999999997E+00;	-3.4659775709087060E-05;	-3.1169785809014771E-04
+6.7199999999999998E+00;	-4.2999242173765904E-05;	-3.1172779321618184E-04
+6.7599999999999998E+00;	-3.9425185117475002E-05;	-3.1169785809014771E-04
+6.7999999999999998E+00;	-3.4659775709087060E-05;	-3.1175772834221593E-04
+6.8399999999999999E+00;	-3.8233832765377962E-05;	-3.1175772834221593E-04
+6.8799999999999999E+00;	-3.7042480413281031E-05;	-3.1190740397238657E-04
+6.9199999999999999E+00;	-4.0616537469571933E-05;	-3.1184753372031829E-04
+6.9600000000000000E+00;	-3.9425185117475002E-05;	-3.1181759859428421E-04
+7.0000000000000000E+00;	-3.9425185117475002E-05;	-3.1178766346825007E-04
+7.0400000000000000E+00;	-4.0616537469571933E-05;	-3.1175772834221593E-04
+7.0800000000000001E+00;	-4.2999242173765904E-05;	-3.1181759859428421E-04
+7.1200000000000001E+00;	-3.9425185117475002E-05;	-3.1175772834221593E-04
+7.1600000000000001E+00;	-3.3468423356990021E-05;	-3.1181759859428421E-04
+7.2000000000000002E+00;	-3.7042480413281031E-05;	-3.1181759859428421E-04
+7.2400000000000002E+00;	-3.8233832765377962E-05;	-3.1184753372031829E-04
+7.2800000000000002E+00;	-4.2999242173765904E-05;	-3.1175772834221593E-04
+7.3200000000000003E+00;	-3.9425185117475002E-05;	-3.1163798783807943E-04
+7.3600000000000003E+00;	-3.4659775709087060E-05;	-3.1166792296411357E-04
+7.4000000000000004E+00;	-2.7511661596505148E-05;	-3.1160805271204534E-04
+7.4400000000000004E+00;	-3.2277071004893089E-05;	-3.1169785809014771E-04
+7.4800000000000004E+00;	-4.0616537469571933E-05;	-3.1169785809014771E-04
+7.5200000000000005E+00;	-4.2999242173765904E-05;	-3.1169785809014771E-04
+7.5600000000000005E+00;	-3.3468423356990021E-05;	-3.1169785809014771E-04
+7.6000000000000005E+00;	-4.1807889821668972E-05;	-3.1160805271204534E-04
+7.6400000000000006E+00;	-3.9425185117475002E-05;	-3.1154818245997707E-04
+7.6799999999999997E+00;	-3.1085718652796158E-05;	-3.1163798783807943E-04
+7.7199999999999998E+00;	-3.3468423356990021E-05;	-3.1166792296411357E-04
+7.7599999999999998E+00;	-4.4190594525862943E-05;	-3.1157811758601120E-04
+7.7999999999999998E+00;	-3.3468423356990021E-05;	-3.1151824733394298E-04
+7.8399999999999999E+00;	-3.4659775709087060E-05;	-3.1157811758601120E-04
+7.8799999999999999E+00;	-3.7042480413281031E-05;	-3.1154818245997707E-04
+7.9199999999999999E+00;	-3.3468423356990021E-05;	-3.1157811758601120E-04
+7.9600000000000000E+00;	-3.7042480413281031E-05;	-3.1160805271204534E-04
+8.0000000000000000E+00;	-3.3468423356990021E-05;	-3.1148831220790884E-04
+8.0400000000000009E+00;	-2.9894366300699119E-05;	-3.1154818245997707E-04
+8.0800000000000001E+00;	-3.4659775709087060E-05;	-3.1151824733394298E-04
+8.1200000000000010E+00;	-3.9425185117475002E-05;	-3.1154818245997707E-04
+8.1600000000000001E+00;	-3.7042480413281031E-05;	-3.1154818245997707E-04
+8.1999999999999993E+00;	-3.8233832765377962E-05;	-3.1148831220790884E-04
+8.2400000000000002E+00;	-4.1807889821668972E-05;	-3.1157811758601120E-04
+8.2799999999999994E+00;	-3.8233832765377962E-05;	-3.1160805271204534E-04
+8.3200000000000003E+00;	-3.5851128061183991E-05;	-3.1151824733394298E-04
+8.3599999999999994E+00;	-3.4659775709087060E-05;	-3.1157811758601120E-04
+8.4000000000000004E+00;	-3.9425185117475002E-05;	-3.1169785809014771E-04
+8.4399999999999995E+00;	-3.8233832765377962E-05;	-3.1148831220790884E-04
+8.4800000000000004E+00;	-3.8233832765377962E-05;	-3.1145837708187470E-04
+8.5199999999999996E+00;	-3.5851128061183991E-05;	-3.1154818245997707E-04
+8.5600000000000005E+00;	-3.5851128061183991E-05;	-3.1157811758601120E-04
+8.5999999999999996E+00;	-4.4190594525862943E-05;	-3.1163798783807943E-04
+8.6400000000000006E+00;	-4.4190594525862943E-05;	-3.1172779321618184E-04
+8.6799999999999997E+00;	-3.8233832765377962E-05;	-3.1157811758601120E-04
+8.7200000000000006E+00;	-4.2999242173765904E-05;	-3.1148831220790884E-04
+8.7599999999999998E+00;	-4.5381946877959874E-05;	-3.1157811758601120E-04
+8.8000000000000007E+00;	-4.4190594525862943E-05;	-3.1154818245997707E-04
+8.8399999999999999E+00;	-4.4190594525862943E-05;	-3.1154818245997707E-04
+8.8800000000000008E+00;	-4.2999242173765904E-05;	-3.1160805271204534E-04
+8.9199999999999999E+00;	-2.9894366300699119E-05;	-3.1148831220790884E-04
+8.9600000000000009E+00;	-3.4659775709087060E-05;	-3.1151824733394298E-04
+9.0000000000000000E+00;	-3.2277071004893089E-05;	-3.1145837708187470E-04
+9.0400000000000009E+00;	-4.0616537469571933E-05;	-3.1163798783807943E-04
+9.0800000000000001E+00;	-3.5851128061183991E-05;	-3.1172779321618184E-04
+9.1200000000000010E+00;	-3.4659775709087060E-05;	-3.1166792296411357E-04
+9.1600000000000001E+00;	-3.2277071004893089E-05;	-3.1175772834221593E-04
+9.2000000000000011E+00;	-3.3468423356990021E-05;	-3.1178766346825007E-04
+9.2400000000000002E+00;	-3.5851128061183991E-05;	-3.1175772834221593E-04
+9.2799999999999994E+00;	-3.8233832765377962E-05;	-3.1178766346825007E-04
+9.3200000000000003E+00;	-3.4659775709087060E-05;	-3.1175772834221593E-04
+9.3599999999999994E+00;	-3.5851128061183991E-05;	-3.1169785809014771E-04
+9.4000000000000004E+00;	-3.8233832765377962E-05;	-3.1166792296411357E-04
+9.4399999999999995E+00;	-3.8233832765377962E-05;	-3.1160805271204534E-04
+9.4800000000000004E+00;	-3.2277071004893089E-05;	-3.1163798783807943E-04
+9.5199999999999996E+00;	-3.3468423356990021E-05;	-3.1160805271204534E-04
+9.5600000000000005E+00;	-3.4659775709087060E-05;	-3.1160805271204534E-04
+9.5999999999999996E+00;	-3.2277071004893089E-05;	-3.1154818245997707E-04
+9.6400000000000006E+00;	-3.2277071004893089E-05;	-3.1154818245997707E-04
+9.6799999999999997E+00;	-3.9425185117475002E-05;	-3.1154818245997707E-04
+9.7200000000000006E+00;	-3.7042480413281031E-05;	-3.1148831220790884E-04
+9.7599999999999998E+00;	-4.0616537469571933E-05;	-3.1145837708187470E-04
+9.8000000000000007E+00;	-3.2277071004893089E-05;	-3.1148831220790884E-04
+9.8399999999999999E+00;	-3.8233832765377962E-05;	-3.1151824733394298E-04
+9.8800000000000008E+00;	-3.3468423356990021E-05;	-3.1154818245997707E-04
+9.9199999999999999E+00;	-3.3468423356990021E-05;	-3.1157811758601120E-04
+9.9600000000000009E+00;	-3.2277071004893089E-05;	-3.1148831220790884E-04
+1.0000000000000000E+01;	-3.7042480413281031E-05;	-3.1151824733394298E-04
+1.0040000000000001E+01;	-3.7042480413281031E-05;	-3.1148831220790884E-04
+1.0080000000000000E+01;	-3.3468423356990021E-05;	-3.1151824733394298E-04
+1.0120000000000001E+01;	-3.4659775709087060E-05;	-3.1145837708187470E-04
+1.0160000000000000E+01;	-3.5851128061183991E-05;	-3.1139850682980648E-04
+1.0200000000000001E+01;	-3.4659775709087060E-05;	-3.1145837708187470E-04
+1.0240000000000000E+01;	-4.1807889821668972E-05;	-3.1148831220790884E-04
+1.0279999999999999E+01;	-3.7042480413281031E-05;	-3.1142844195584056E-04
+1.0320000000000000E+01;	-3.4659775709087060E-05;	-3.1148831220790884E-04
+1.0359999999999999E+01;	-4.1807889821668972E-05;	-3.1139850682980648E-04
+1.0400000000000000E+01;	-3.7042480413281031E-05;	-3.1133863657773820E-04
+1.0440000000000000E+01;	-3.5851128061183991E-05;	-3.1136857170377234E-04
+1.0480000000000000E+01;	-3.5851128061183991E-05;	-3.1136857170377234E-04
+1.0520000000000000E+01;	-3.2277071004893089E-05;	-3.1136857170377234E-04
+1.0560000000000000E+01;	-3.2277071004893089E-05;	-3.1127876632566998E-04
+1.0600000000000000E+01;	-4.0616537469571933E-05;	-3.1130870145170412E-04
+1.0640000000000001E+01;	-4.5381946877959874E-05;	-3.1133863657773820E-04
+1.0680000000000000E+01;	-3.4659775709087060E-05;	-3.1133863657773820E-04
+1.0720000000000001E+01;	-4.2999242173765904E-05;	-3.1136857170377234E-04
+1.0760000000000000E+01;	-3.9425185117475002E-05;	-3.1118896094756762E-04
+1.0800000000000001E+01;	-3.8233832765377962E-05;	-3.1121889607360170E-04
+1.0840000000000000E+01;	-3.4659775709087060E-05;	-3.1115902582153348E-04
+1.0880000000000001E+01;	-3.2277071004893089E-05;	-3.1121889607360170E-04
+1.0920000000000000E+01;	-3.8233832765377962E-05;	-3.1127876632566998E-04
+1.0960000000000001E+01;	-3.9425185117475002E-05;	-3.1130870145170412E-04
+1.1000000000000000E+01;	-3.7042480413281031E-05;	-3.1133863657773820E-04
+1.1040000000000001E+01;	-3.3468423356990021E-05;	-3.1136857170377234E-04
+1.1080000000000000E+01;	-3.3468423356990021E-05;	-3.1130870145170412E-04
+1.1120000000000001E+01;	-3.9425185117475002E-05;	-3.1124883119963584E-04
+1.1160000000000000E+01;	-3.8233832765377962E-05;	-3.1130870145170412E-04
+1.1200000000000001E+01;	-3.8233832765377962E-05;	-3.1127876632566998E-04
+1.1240000000000000E+01;	-3.4659775709087060E-05;	-3.1127876632566998E-04
+1.1279999999999999E+01;	-3.2277071004893089E-05;	-3.1133863657773820E-04
+1.1320000000000000E+01;	-3.5851128061183991E-05;	-3.1121889607360170E-04
+1.1359999999999999E+01;	-4.0616537469571933E-05;	-3.1115902582153348E-04
+1.1400000000000000E+01;	-3.8233832765377962E-05;	-3.1115902582153348E-04
+1.1440000000000000E+01;	-4.4190594525862943E-05;	-3.1112909069549934E-04
+1.1480000000000000E+01;	-4.1807889821668972E-05;	-3.1109915556946525E-04
+1.1520000000000000E+01;	-4.0616537469571933E-05;	-3.1109915556946525E-04
+1.1560000000000000E+01;	-4.0616537469571933E-05;	-3.1118896094756762E-04
+1.1600000000000000E+01;	-4.1807889821668972E-05;	-3.1115902582153348E-04
+1.1640000000000001E+01;	-4.2999242173765904E-05;	-3.1127876632566998E-04
+1.1680000000000000E+01;	-4.6573299230056914E-05;	-3.1124883119963584E-04
+1.1720000000000001E+01;	-4.0616537469571933E-05;	-3.1130870145170412E-04
+1.1760000000000000E+01;	-3.7042480413281031E-05;	-3.1133863657773820E-04
+1.1800000000000001E+01;	-3.8233832765377962E-05;	-3.1136857170377234E-04
+1.1840000000000000E+01;	-4.7764651582153845E-05;	-3.1133863657773820E-04
+1.1880000000000001E+01;	-4.1807889821668972E-05;	-3.1142844195584056E-04
+1.1920000000000000E+01;	-3.9425185117475002E-05;	-3.1139850682980648E-04
+1.1960000000000001E+01;	-3.4659775709087060E-05;	-3.1133863657773820E-04
+1.2000000000000000E+01;	-4.1807889821668972E-05;	-3.1133863657773820E-04
+1.2040000000000001E+01;	-3.7042480413281031E-05;	-3.1133863657773820E-04
+1.2080000000000000E+01;	-3.7042480413281031E-05;	-3.1133863657773820E-04
+1.2120000000000001E+01;	-4.4190594525862943E-05;	-3.1133863657773820E-04
+1.2160000000000000E+01;	-3.4659775709087060E-05;	-3.1142844195584056E-04
+1.2200000000000001E+01;	-3.7042480413281031E-05;	-3.1142844195584056E-04
+1.2240000000000000E+01;	-3.4659775709087060E-05;	-3.1139850682980648E-04
+1.2280000000000001E+01;	-3.7042480413281031E-05;	-3.1145837708187470E-04
+1.2320000000000000E+01;	-3.3468423356990021E-05;	-3.1145837708187470E-04
+1.2359999999999999E+01;	-3.9425185117475002E-05;	-3.1145837708187470E-04
+1.2400000000000000E+01;	-4.1807889821668972E-05;	-3.1148831220790884E-04
+1.2440000000000000E+01;	-4.4190594525862943E-05;	-3.1139850682980648E-04
